crop_type	state	city	season	month	year	Modal_price
Wheat	Maharashtra	Mumbai	Post-Monsoon	6	2023	60.38
Wheat	Maharashtra	Mumbai	Post-Monsoon	7	2023	296.66
Wheat	Maharashtra	Mumbai	Post-Monsoon	8	2023	146.62
Wheat	Maharashtra	Mumbai	Post-Monsoon	9	2023	44.34
Wheat	Maharashtra	Mumbai	Post-Monsoon	10	2023	25.65
Wheat	Maharashtra	Mumbai	Post-Monsoon	11	2023	78.56
Wheat	Maharashtra	Mumbai	Post-Monsoon	12	2023	238.66
Wheat	Maharashtra	Mumbai	Post-Monsoon	1	2024	61.23
Wheat	Maharashtra	Mumbai	Post-Monsoon	2	2024	141.92
Wheat	Maharashtra	Mumbai	Post-Monsoon	3	2024	268.17
Wheat	Maharashtra	Mumbai	Post-Monsoon	4	2024	13.68
Wheat	Maharashtra	Mumbai	Post-Monsoon	5	2024	34.6
Wheat	Maharashtra	Mumbai	Post-Monsoon	6	2024	68.18
Wheat	Maharashtra	Mumbai	Post-Monsoon	7	2024	95.52
Wheat	Maharashtra	Mumbai	Post-Monsoon	8	2024	122.56
Wheat	Maharashtra	Mumbai	Post-Monsoon	9	2024	88.07
Wheat	Maharashtra	Mumbai	Post-Monsoon	10	2024	103.42
Wheat	Maharashtra	Mumbai	Post-Monsoon	11	2024	38.34
Wheat	Maharashtra	Mumbai	Post-Monsoon	12	2024	180.45
Rice	Maharashtra	Mumbai	Kharif	1	2023	129.33
Rice	Maharashtra	Mumbai	Kharif	2	2023	93.97
Rice	Maharashtra	Mumbai	Kharif	3	2023	84.14
Rice	Maharashtra	Mumbai	Kharif	4	2023	186.21
Rice	Maharashtra	Mumbai	Kharif	5	2023	57.24
Rice	Maharashtra	Mumbai	Kharif	6	2023	154.57
Rice	Maharashtra	Mumbai	Kharif	7	2023	249.94
Rice	Maharashtra	Mumbai	Kharif	8	2023	246.22
Rice	Maharashtra	Mumbai	Kharif	9	2023	245.06
Rice	Maharashtra	Mumbai	Kharif	10	2023	159.03
Rice	Maharashtra	Mumbai	Kharif	11	2023	152.96
Rice	Maharashtra	Mumbai	Kharif	12	2023	146.37
Rice	Maharashtra	Mumbai	Kharif	1	2024	153.28
Rice	Maharashtra	Mumbai	Kharif	2	2024	275.47
Rice	Maharashtra	Mumbai	Kharif	3	2024	148.67
Rice	Maharashtra	Mumbai	Kharif	4	2024	288.51
Rice	Maharashtra	Mumbai	Kharif	5	2024	8.19
Rice	Maharashtra	Mumbai	Kharif	6	2024	128.77
Rice	Maharashtra	Mumbai	Kharif	7	2024	231.86
Rice	Maharashtra	Mumbai	Kharif	8	2024	27.88
Rice	Maharashtra	Mumbai	Kharif	9	2024	142.16
Rice	Maharashtra	Mumbai	Kharif	10	2024	168.62
Rice	Maharashtra	Mumbai	Kharif	11	2024	138.85
Rice	Maharashtra	Mumbai	Kharif	12	2024	187.92
Rice	Maharashtra	Mumbai	Rabi	1	2023	274.62
Rice	Maharashtra	Mumbai	Rabi	2	2023	142.36
Rice	Maharashtra	Mumbai	Rabi	3	2023	90.53
Rice	Maharashtra	Mumbai	Rabi	4	2023	51.94
Rice	Maharashtra	Mumbai	Rabi	5	2023	46.84
Rice	Maharashtra	Mumbai	Rabi	6	2023	118.22
Rice	Maharashtra	Mumbai	Rabi	7	2023	28.5
Rice	Maharashtra	Mumbai	Rabi	8	2023	16.95
Rice	Maharashtra	Mumbai	Rabi	9	2023	120.23
Rice	Maharashtra	Mumbai	Rabi	10	2023	134.76
Rice	Maharashtra	Mumbai	Rabi	11	2023	127.04
Rice	Maharashtra	Mumbai	Rabi	12	2023	4.34
Rice	Maharashtra	Mumbai	Rabi	1	2024	255.68
Rice	Maharashtra	Mumbai	Rabi	2	2024	116.83
Rice	Maharashtra	Mumbai	Rabi	3	2024	99.89
Rice	Maharashtra	Mumbai	Rabi	4	2024	95.16
Rice	Maharashtra	Mumbai	Rabi	5	2024	94.4
Rice	Maharashtra	Mumbai	Rabi	6	2024	58.26
Rice	Maharashtra	Mumbai	Rabi	7	2024	245.99
Rice	Maharashtra	Mumbai	Rabi	8	2024	9.5
Rice	Maharashtra	Mumbai	Rabi	9	2024	137.92
Rice	Maharashtra	Mumbai	Rabi	10	2024	105.33
Rice	Maharashtra	Mumbai	Rabi	11	2024	82.73
Rice	Maharashtra	Mumbai	Rabi	12	2024	131.73
Rice	Maharashtra	Mumbai	Zaid	1	2023	68.62
Rice	Maharashtra	Mumbai	Zaid	2	2023	100.12
Rice	Maharashtra	Mumbai	Zaid	3	2023	95.95
Rice	Maharashtra	Mumbai	Zaid	4	2023	5.42
Rice	Maharashtra	Mumbai	Zaid	5	2023	25.16
Rice	Maharashtra	Mumbai	Zaid	6	2023	263.81
Rice	Maharashtra	Mumbai	Zaid	7	2023	63.17
Rice	Maharashtra	Mumbai	Zaid	8	2023	133.01
Rice	Maharashtra	Mumbai	Zaid	9	2023	236.36
Rice	Maharashtra	Mumbai	Zaid	10	2023	187.79
Rice	Maharashtra	Mumbai	Zaid	11	2023	233.35
Rice	Maharashtra	Mumbai	Zaid	12	2023	20.65
Rice	Maharashtra	Mumbai	Zaid	1	2024	135.44
Rice	Maharashtra	Mumbai	Zaid	2	2024	21.41
Rice	Maharashtra	Mumbai	Zaid	3	2024	45.29
Rice	Maharashtra	Mumbai	Zaid	4	2024	221.64
Rice	Maharashtra	Mumbai	Zaid	5	2024	93.1
Rice	Maharashtra	Mumbai	Zaid	6	2024	72.69
Rice	Maharashtra	Mumbai	Zaid	7	2024	48.37
Rice	Maharashtra	Mumbai	Zaid	8	2024	82.43
Rice	Maharashtra	Mumbai	Zaid	9	2024	48.15
Rice	Maharashtra	Mumbai	Zaid	10	2024	305.09
Rice	Maharashtra	Mumbai	Zaid	11	2024	127.75
Rice	Maharashtra	Mumbai	Zaid	12	2024	41.22
Rice	Maharashtra	Mumbai	Post-Monsoon	1	2023	169.33
Rice	Maharashtra	Mumbai	Post-Monsoon	2	2023	69.54
Rice	Maharashtra	Mumbai	Post-Monsoon	3	2023	80.86
Rice	Maharashtra	Mumbai	Post-Monsoon	4	2023	231.52
Rice	Maharashtra	Mumbai	Post-Monsoon	5	2023	99.11
Rice	Maharashtra	Mumbai	Post-Monsoon	6	2023	227.83
Rice	Maharashtra	Mumbai	Post-Monsoon	7	2023	239.43
Rice	Maharashtra	Mumbai	Post-Monsoon	8	2023	121.37
Rice	Maharashtra	Mumbai	Post-Monsoon	9	2023	105.65
Rice	Maharashtra	Mumbai	Post-Monsoon	10	2023	157.75
Rice	Maharashtra	Mumbai	Post-Monsoon	11	2023	28.91
Rice	Maharashtra	Mumbai	Post-Monsoon	12	2023	57.17
Rice	Maharashtra	Mumbai	Post-Monsoon	1	2024	258.97
Rice	Maharashtra	Mumbai	Post-Monsoon	2	2024	66.87
Rice	Maharashtra	Mumbai	Post-Monsoon	3	2024	29.36
Rice	Maharashtra	Mumbai	Post-Monsoon	4	2024	265.97
Rice	Maharashtra	Mumbai	Post-Monsoon	5	2024	146.31
Rice	Maharashtra	Mumbai	Post-Monsoon	6	2024	127.76
Rice	Maharashtra	Mumbai	Post-Monsoon	7	2024	75.35
Rice	Maharashtra	Mumbai	Post-Monsoon	8	2024	141.55
Rice	Maharashtra	Mumbai	Post-Monsoon	9	2024	13.53
Rice	Maharashtra	Mumbai	Post-Monsoon	10	2024	208.86
Rice	Maharashtra	Mumbai	Post-Monsoon	11	2024	4.39
Rice	Maharashtra	Mumbai	Post-Monsoon	12	2024	49.66
Maize	Maharashtra	Mumbai	Kharif	1	2023	41.9
Maize	Maharashtra	Mumbai	Kharif	2	2023	42.71
Maize	Maharashtra	Mumbai	Kharif	3	2023	180.47
Maize	Maharashtra	Mumbai	Kharif	4	2023	125.64
Maize	Maharashtra	Mumbai	Kharif	5	2023	39.57
Maize	Maharashtra	Mumbai	Kharif	6	2023	183.67
Maize	Maharashtra	Mumbai	Kharif	7	2023	142.21
Maize	Maharashtra	Mumbai	Kharif	8	2023	157.64
Maize	Maharashtra	Mumbai	Kharif	9	2023	338.5
Maize	Maharashtra	Mumbai	Kharif	10	2023	132.25
Maize	Maharashtra	Mumbai	Kharif	11	2023	221.98
Maize	Maharashtra	Mumbai	Kharif	12	2023	3.25
Maize	Maharashtra	Mumbai	Kharif	1	2024	174.38
Maize	Maharashtra	Mumbai	Kharif	2	2024	239.05
Maize	Maharashtra	Mumbai	Kharif	3	2024	85.54
Maize	Maharashtra	Mumbai	Kharif	4	2024	55.33
Maize	Maharashtra	Mumbai	Kharif	5	2024	121.36
Maize	Maharashtra	Mumbai	Kharif	6	2024	68.09
Maize	Maharashtra	Mumbai	Kharif	7	2024	270.95
Maize	Maharashtra	Mumbai	Kharif	8	2024	41.78
Maize	Maharashtra	Mumbai	Kharif	9	2024	106.83
Maize	Maharashtra	Mumbai	Kharif	10	2024	240.75
Maize	Maharashtra	Mumbai	Kharif	11	2024	182.74
Maize	Maharashtra	Mumbai	Kharif	12	2024	167.72
Maize	Maharashtra	Mumbai	Rabi	1	2023	128.88
Maize	Maharashtra	Mumbai	Rabi	2	2023	66.55
Maize	Maharashtra	Mumbai	Rabi	3	2023	87.01
Maize	Maharashtra	Mumbai	Rabi	4	2023	174.96
Maize	Maharashtra	Mumbai	Rabi	5	2023	161.94
Maize	Maharashtra	Mumbai	Rabi	6	2023	152.59
Maize	Maharashtra	Mumbai	Rabi	7	2023	67.55
Maize	Maharashtra	Mumbai	Rabi	8	2023	97.94
Maize	Maharashtra	Mumbai	Rabi	9	2023	22.75
Maize	Maharashtra	Mumbai	Rabi	10	2023	42.69
Maize	Maharashtra	Mumbai	Rabi	11	2023	174.75
Maize	Maharashtra	Mumbai	Rabi	12	2023	153.16
Maize	Maharashtra	Mumbai	Rabi	1	2024	198.23
Maize	Maharashtra	Mumbai	Rabi	2	2024	195.83
Maize	Maharashtra	Mumbai	Rabi	3	2024	162.05
Maize	Maharashtra	Mumbai	Rabi	4	2024	174.47
Maize	Maharashtra	Mumbai	Rabi	5	2024	134.5
Maize	Maharashtra	Mumbai	Rabi	6	2024	77.77
Maize	Maharashtra	Mumbai	Rabi	7	2024	191.58
Maize	Maharashtra	Mumbai	Rabi	8	2024	225.87
Maize	Maharashtra	Mumbai	Rabi	9	2024	164.6
Maize	Maharashtra	Mumbai	Rabi	10	2024	4.12
Maize	Maharashtra	Mumbai	Rabi	11	2024	73.13
Maize	Maharashtra	Mumbai	Rabi	12	2024	216.03
Maize	Maharashtra	Mumbai	Zaid	1	2023	147.72
Maize	Maharashtra	Mumbai	Zaid	2	2023	41.49
Maize	Maharashtra	Mumbai	Zaid	3	2023	63.81
Maize	Maharashtra	Mumbai	Zaid	4	2023	38.96
Maize	Maharashtra	Mumbai	Zaid	5	2023	111.18
Maize	Maharashtra	Mumbai	Zaid	6	2023	56.71
Maize	Maharashtra	Mumbai	Zaid	7	2023	194.39
Maize	Maharashtra	Mumbai	Zaid	8	2023	20.76
Maize	Maharashtra	Mumbai	Zaid	9	2023	135.41
Maize	Maharashtra	Mumbai	Zaid	10	2023	18.31
Maize	Maharashtra	Mumbai	Zaid	11	2023	93.79
Maize	Maharashtra	Mumbai	Zaid	12	2023	89.9
Maize	Maharashtra	Mumbai	Zaid	1	2024	26.92
Maize	Maharashtra	Mumbai	Zaid	2	2024	311.77
Maize	Maharashtra	Mumbai	Zaid	3	2024	40.69
Maize	Maharashtra	Mumbai	Zaid	4	2024	116.66
Maize	Maharashtra	Mumbai	Zaid	5	2024	328.85
Maize	Maharashtra	Mumbai	Zaid	6	2024	266.47
Maize	Maharashtra	Mumbai	Zaid	7	2024	58.75
Maize	Maharashtra	Mumbai	Zaid	8	2024	43.79
Maize	Maharashtra	Mumbai	Zaid	9	2024	14.65
Maize	Maharashtra	Mumbai	Zaid	10	2024	341.75
Maize	Maharashtra	Mumbai	Zaid	11	2024	131.31
Maize	Maharashtra	Mumbai	Zaid	12	2024	71.52
Maize	Maharashtra	Mumbai	Post-Monsoon	1	2023	118.11
Maize	Maharashtra	Mumbai	Post-Monsoon	2	2023	55.69
Maize	Maharashtra	Mumbai	Post-Monsoon	3	2023	248.31
Maize	Maharashtra	Mumbai	Post-Monsoon	4	2023	62.96
Maize	Maharashtra	Mumbai	Post-Monsoon	5	2023	136.36
Maize	Maharashtra	Mumbai	Post-Monsoon	6	2023	253.81
Maize	Maharashtra	Mumbai	Post-Monsoon	7	2023	256.85
Maize	Maharashtra	Mumbai	Post-Monsoon	8	2023	236.47
Maize	Maharashtra	Mumbai	Post-Monsoon	9	2023	83.5
Maize	Maharashtra	Mumbai	Post-Monsoon	10	2023	15.96
Maize	Maharashtra	Mumbai	Post-Monsoon	11	2023	234.52
Maize	Maharashtra	Mumbai	Post-Monsoon	12	2023	160.63
Maize	Maharashtra	Mumbai	Post-Monsoon	1	2024	151.23
Maize	Maharashtra	Mumbai	Post-Monsoon	2	2024	10.55
Maize	Maharashtra	Mumbai	Post-Monsoon	3	2024	42.28
Maize	Maharashtra	Mumbai	Post-Monsoon	4	2024	138.44
Maize	Maharashtra	Mumbai	Post-Monsoon	5	2024	53.23
Maize	Maharashtra	Mumbai	Post-Monsoon	6	2024	110.03
Maize	Maharashtra	Mumbai	Post-Monsoon	7	2024	107.28
Maize	Maharashtra	Mumbai	Post-Monsoon	8	2024	151.8
Maize	Maharashtra	Mumbai	Post-Monsoon	9	2024	133.66
Maize	Maharashtra	Mumbai	Post-Monsoon	10	2024	135.72
Maize	Maharashtra	Mumbai	Post-Monsoon	11	2024	77.77
Maize	Maharashtra	Mumbai	Post-Monsoon	12	2024	266.4
Cotton	Maharashtra	Mumbai	Kharif	1	2023	30.88
Cotton	Maharashtra	Mumbai	Kharif	2	2023	33.17
Cotton	Maharashtra	Mumbai	Kharif	3	2023	311.22
Cotton	Maharashtra	Mumbai	Kharif	4	2023	165.65
Cotton	Maharashtra	Mumbai	Kharif	5	2023	188.49
Cotton	Maharashtra	Mumbai	Kharif	6	2023	160.11
Cotton	Maharashtra	Mumbai	Kharif	7	2023	14.66
Cotton	Maharashtra	Mumbai	Kharif	8	2023	106.73
Cotton	Maharashtra	Mumbai	Kharif	9	2023	3.76
Cotton	Maharashtra	Mumbai	Kharif	10	2023	227.11
Cotton	Maharashtra	Mumbai	Kharif	11	2023	27.23
Cotton	Maharashtra	Mumbai	Kharif	12	2023	48.72
Cotton	Maharashtra	Mumbai	Kharif	1	2024	177.01
Cotton	Maharashtra	Mumbai	Kharif	2	2024	66.93
Cotton	Maharashtra	Mumbai	Kharif	3	2024	30.54
Cotton	Maharashtra	Mumbai	Kharif	4	2024	208.72
Cotton	Maharashtra	Mumbai	Kharif	5	2024	80.59
Cotton	Maharashtra	Mumbai	Kharif	6	2024	18.2
Cotton	Maharashtra	Mumbai	Kharif	7	2024	113.58
Cotton	Maharashtra	Mumbai	Kharif	8	2024	42.52
Cotton	Maharashtra	Mumbai	Kharif	9	2024	60.7
Cotton	Maharashtra	Mumbai	Kharif	10	2024	152.46
Cotton	Maharashtra	Mumbai	Kharif	11	2024	81.47
Cotton	Maharashtra	Mumbai	Kharif	12	2024	185.34
Cotton	Maharashtra	Mumbai	Rabi	2	2023	95.53
Cotton	Maharashtra	Mumbai	Rabi	3	2023	121.88
Cotton	Maharashtra	Mumbai	Rabi	4	2023	1.77
Cotton	Maharashtra	Mumbai	Rabi	5	2023	10.2
Cotton	Maharashtra	Mumbai	Rabi	6	2023	79.35
Cotton	Maharashtra	Mumbai	Rabi	7	2023	145.02
Cotton	Maharashtra	Mumbai	Rabi	8	2023	194.36
Cotton	Maharashtra	Mumbai	Rabi	9	2023	195.15
Cotton	Maharashtra	Mumbai	Rabi	10	2023	177.71
Cotton	Maharashtra	Mumbai	Rabi	11	2023	127.61
Cotton	Maharashtra	Mumbai	Rabi	12	2023	69.16
Cotton	Maharashtra	Mumbai	Rabi	1	2024	10.28
Cotton	Maharashtra	Mumbai	Rabi	2	2024	118.58
Cotton	Maharashtra	Mumbai	Rabi	3	2024	15.16
Cotton	Maharashtra	Mumbai	Rabi	4	2024	316.03
Cotton	Maharashtra	Mumbai	Rabi	5	2024	219.13
Cotton	Maharashtra	Mumbai	Rabi	6	2024	46.25
Cotton	Maharashtra	Mumbai	Rabi	7	2024	88.42
Cotton	Maharashtra	Mumbai	Rabi	8	2024	58.04
Cotton	Maharashtra	Mumbai	Rabi	9	2024	49.13
Cotton	Maharashtra	Mumbai	Rabi	10	2024	47.55
Cotton	Maharashtra	Mumbai	Rabi	11	2024	39.56
Cotton	Maharashtra	Mumbai	Rabi	12	2024	41.74
Cotton	Maharashtra	Mumbai	Zaid	1	2023	252.84
Cotton	Maharashtra	Mumbai	Zaid	2	2023	54.69
Cotton	Maharashtra	Mumbai	Zaid	3	2023	132.12
Cotton	Maharashtra	Mumbai	Zaid	4	2023	224.35
Cotton	Maharashtra	Mumbai	Zaid	5	2023	65.78
Cotton	Maharashtra	Mumbai	Zaid	6	2023	218.36
Cotton	Maharashtra	Mumbai	Zaid	7	2023	24.76
Cotton	Maharashtra	Mumbai	Zaid	8	2023	207.28
Cotton	Maharashtra	Mumbai	Zaid	9	2023	78.09
Cotton	Maharashtra	Mumbai	Zaid	10	2023	203.18
Cotton	Maharashtra	Mumbai	Zaid	11	2023	236.77
Cotton	Maharashtra	Mumbai	Zaid	12	2023	79.47
Cotton	Maharashtra	Mumbai	Zaid	1	2024	97.98
Cotton	Maharashtra	Mumbai	Zaid	2	2024	110.08
Cotton	Maharashtra	Mumbai	Zaid	3	2024	109.01
Cotton	Maharashtra	Mumbai	Zaid	4	2024	196.81
Cotton	Maharashtra	Mumbai	Zaid	5	2024	115.53
Cotton	Maharashtra	Mumbai	Zaid	6	2024	199.54
Cotton	Maharashtra	Mumbai	Zaid	7	2024	27.49
Cotton	Maharashtra	Mumbai	Zaid	8	2024	164.59
Cotton	Maharashtra	Mumbai	Zaid	9	2024	264.29
Cotton	Maharashtra	Mumbai	Zaid	10	2024	30.82
Cotton	Maharashtra	Mumbai	Zaid	11	2024	141.12
Cotton	Maharashtra	Mumbai	Zaid	12	2024	167.04
Cotton	Maharashtra	Mumbai	Post-Monsoon	1	2023	67.72
Cotton	Maharashtra	Mumbai	Post-Monsoon	2	2023	62.93
Cotton	Maharashtra	Mumbai	Post-Monsoon	3	2023	5.55
Cotton	Maharashtra	Mumbai	Post-Monsoon	4	2023	174.92
Cotton	Maharashtra	Mumbai	Post-Monsoon	5	2023	20.36
Cotton	Maharashtra	Mumbai	Post-Monsoon	6	2023	105.65
Cotton	Maharashtra	Mumbai	Post-Monsoon	7	2023	189.15
Cotton	Maharashtra	Mumbai	Post-Monsoon	8	2023	142.3
Cotton	Maharashtra	Mumbai	Post-Monsoon	9	2023	22.15
Cotton	Maharashtra	Mumbai	Post-Monsoon	10	2023	111.14
Cotton	Maharashtra	Mumbai	Post-Monsoon	11	2023	179.56
Cotton	Maharashtra	Mumbai	Post-Monsoon	12	2023	14
Cotton	Maharashtra	Mumbai	Post-Monsoon	1	2024	327.19
Cotton	Maharashtra	Mumbai	Post-Monsoon	2	2024	262.55
Cotton	Maharashtra	Mumbai	Post-Monsoon	3	2024	129.59
Cotton	Maharashtra	Mumbai	Post-Monsoon	4	2024	67.5
Cotton	Maharashtra	Mumbai	Post-Monsoon	5	2024	265.14
Cotton	Maharashtra	Mumbai	Post-Monsoon	6	2024	174.75
Cotton	Maharashtra	Mumbai	Post-Monsoon	7	2024	80.13
Cotton	Maharashtra	Mumbai	Post-Monsoon	8	2024	151.82
Cotton	Maharashtra	Mumbai	Post-Monsoon	9	2024	232.28
Cotton	Maharashtra	Mumbai	Post-Monsoon	10	2024	191.52
Cotton	Maharashtra	Mumbai	Post-Monsoon	11	2024	68.09
Cotton	Maharashtra	Mumbai	Post-Monsoon	12	2024	202.12
Sugarcane	Maharashtra	Mumbai	Kharif	1	2023	124.29
Sugarcane	Maharashtra	Mumbai	Kharif	2	2023	98.54
Sugarcane	Maharashtra	Mumbai	Kharif	3	2023	17.65
Sugarcane	Maharashtra	Mumbai	Kharif	4	2023	71.79
Sugarcane	Maharashtra	Mumbai	Kharif	5	2023	174.79
Sugarcane	Maharashtra	Mumbai	Kharif	6	2023	218.34
Sugarcane	Maharashtra	Mumbai	Kharif	7	2023	110.66
Sugarcane	Maharashtra	Mumbai	Kharif	8	2023	59.13
Sugarcane	Maharashtra	Mumbai	Kharif	9	2023	70.75
Sugarcane	Maharashtra	Mumbai	Kharif	10	2023	178.98
Sugarcane	Maharashtra	Mumbai	Kharif	11	2023	82.61
Sugarcane	Maharashtra	Mumbai	Kharif	12	2023	236.04
Sugarcane	Maharashtra	Mumbai	Kharif	1	2024	135.69
Sugarcane	Maharashtra	Mumbai	Kharif	2	2024	260.23
Sugarcane	Maharashtra	Mumbai	Kharif	3	2024	262.3
Sugarcane	Maharashtra	Mumbai	Kharif	4	2024	142.57
Sugarcane	Maharashtra	Mumbai	Kharif	5	2024	93.28
Sugarcane	Maharashtra	Mumbai	Kharif	6	2024	182.91
Sugarcane	Maharashtra	Mumbai	Kharif	7	2024	174.62
Sugarcane	Maharashtra	Mumbai	Kharif	8	2024	272.18
Sugarcane	Maharashtra	Mumbai	Kharif	9	2024	160.45
Sugarcane	Maharashtra	Mumbai	Kharif	10	2024	70.03
Sugarcane	Maharashtra	Mumbai	Kharif	11	2024	82.05
Sugarcane	Maharashtra	Mumbai	Kharif	12	2024	150.51
Sugarcane	Maharashtra	Mumbai	Rabi	1	2023	101.98
Sugarcane	Maharashtra	Mumbai	Rabi	2	2023	39.22
Sugarcane	Maharashtra	Mumbai	Rabi	3	2023	83.47
Sugarcane	Maharashtra	Mumbai	Rabi	4	2023	174.33
Sugarcane	Maharashtra	Mumbai	Rabi	5	2023	102.29
Sugarcane	Maharashtra	Mumbai	Rabi	6	2023	187.8
Sugarcane	Maharashtra	Mumbai	Rabi	7	2023	54.36
Sugarcane	Maharashtra	Mumbai	Rabi	8	2023	329.57
Sugarcane	Maharashtra	Mumbai	Rabi	9	2023	162.98
Sugarcane	Maharashtra	Mumbai	Rabi	10	2023	29.57
Sugarcane	Maharashtra	Mumbai	Rabi	11	2023	61.19
Sugarcane	Maharashtra	Mumbai	Rabi	12	2023	64.6
Sugarcane	Maharashtra	Mumbai	Rabi	1	2024	34.12
Sugarcane	Maharashtra	Mumbai	Rabi	2	2024	5.4
Sugarcane	Maharashtra	Mumbai	Rabi	3	2024	40.62
Sugarcane	Maharashtra	Mumbai	Rabi	4	2024	56.74
Sugarcane	Maharashtra	Mumbai	Rabi	5	2024	27.43
Sugarcane	Maharashtra	Mumbai	Rabi	6	2024	122.42
Sugarcane	Maharashtra	Mumbai	Rabi	7	2024	38.22
Sugarcane	Maharashtra	Mumbai	Rabi	8	2024	106.47
